station_id,nom,lat,lon,velos_dispo,nb_places_dispo,commune,etat,ville,nb_emprunts,usage_score,cluster
49,Place Deliot,50.61957,3.068387,13,11,Lille,EN SERVICE,Lille,15478.0,0.27701118568232663,0
49,Place Deliot,50.61957,3.068387,13,11,Lille,EN SERVICE,Lille,3588.0,0.06421476510067115,0
51,JB Lebas,50.62482,3.068689,2,38,Lille,EN SERVICE,Lille,44040.0,0.7881879194630872,0
51,JB Lebas,50.62482,3.068689,2,38,Lille,EN SERVICE,Lille,7571.0,0.13549888143176733,0
52,Place Colette Besson,50.62276,3.063799,5,17,Lille,EN SERVICE,Lille,19155.0,0.3428187919463087,0
52,Place Colette Besson,50.62276,3.063799,5,17,Lille,EN SERVICE,Lille,3745.0,0.06702460850111856,0
53,Porte des Postes,50.61856,3.049251,15,23,Lille,EN SERVICE,Lille,12198.0,0.21830872483221478,0
53,Porte des Postes,50.61856,3.049251,15,23,Lille,EN SERVICE,Lille,1751.0,0.03133780760626398,0
54,Metro Wazemmes,50.62338,3.051565,11,9,Lille,EN SERVICE,Lille,10541.0,0.1886532438478747,0
54,Metro Wazemmes,50.62338,3.051565,11,9,Lille,EN SERVICE,Lille,1813.0,0.03244742729306488,0
55,Porte d'Arras,50.617847,3.061758,14,10,Lille,EN SERVICE,Lille,13745.0,0.24599552572706934,0
55,Porte d'Arras,50.617847,3.061758,14,10,Lille,EN SERVICE,Lille,2509.0,0.04490380313199105,0
56,Bd Victor Hugo,50.620304,3.055471,1,17,Lille,EN SERVICE,Lille,15792.0,0.2826308724832215,0
56,Bd Victor Hugo,50.620304,3.055471,1,17,Lille,EN SERVICE,Lille,2654.0,0.04749888143176734,0
57,Barthelemy Delespaul,50.62418,3.058902,5,13,Lille,EN SERVICE,Lille,18439.0,0.33000447427293067,0
57,Barthelemy Delespaul,50.62418,3.058902,5,13,Lille,EN SERVICE,Lille,3302.0,0.059096196868008946,0
58,Porte de Valenciennes,50.62073,3.07895,18,2,Lille,EN SERVICE,Lille,12312.0,0.22034899328859062,0
58,Porte de Valenciennes,50.62073,3.07895,18,2,Lille,EN SERVICE,Lille,2019.0,0.03613422818791946,0
60,Trevise,50.621185,3.072363,0,20,Lille,EN SERVICE,Lille,20024.0,0.3583713646532439,0
60,Trevise,50.621185,3.072363,0,20,Lille,EN SERVICE,Lille,3344.0,0.05984787472035794,0
61,Lille Grand Palais,50.629246,3.075218,8,16,Lille,EN SERVICE,Lille,12886.0,0.23062192393736017,0
61,Lille Grand Palais,50.629246,3.075218,8,16,Lille,EN SERVICE,Lille,2263.0,0.040501118568232665,0
62,Zenith,50.632965,3.076437,17,12,Lille,EN SERVICE,Lille,8294.0,0.1484384787472036,0
62,Zenith,50.632965,3.076437,17,12,Lille,EN SERVICE,Lille,1717.0,0.03072930648769575,0
63,Hotel de Region,50.629738,3.078224,21,11,Lille,EN SERVICE,Lille,13989.0,0.2503624161073825,0
63,Hotel de Region,50.629738,3.078224,21,11,Lille,EN SERVICE,Lille,2322.0,0.04155704697986577,0
64,Mairie de Lille,50.6318,3.071392,11,9,Lille,EN SERVICE,Lille,13017.0,0.23296644295302013,0
64,Mairie de Lille,50.6318,3.071392,11,9,Lille,EN SERVICE,Lille,2305.0,0.041252796420581654,0
65,Place Tacq,50.621128,3.035483,5,13,Lille,EN SERVICE,Lille,10909.0,0.19523937360178972,0
65,Place Tacq,50.621128,3.035483,5,13,Lille,EN SERVICE,Lille,1885.0,0.03373601789709172,0
66,Delesalle Mediatheque,50.63237,3.066273,5,13,Lille,EN SERVICE,Lille,14624.0,0.2617270693512304,0
66,Delesalle Mediatheque,50.63237,3.066273,5,13,Lille,EN SERVICE,Lille,2616.0,0.046818791946308724,0
67,Montebello,50.621952,3.04534,8,16,Lille,EN SERVICE,Lille,16270.0,0.2911856823266219,0
67,Montebello,50.621952,3.04534,8,16,Lille,EN SERVICE,Lille,2718.0,0.048644295302013425,0
68,Nationale Rue du Port,50.630836,3.047778,13,11,Lille,EN SERVICE,Lille,32885.0,0.5885458612975392,0
68,Nationale Rue du Port,50.630836,3.047778,13,11,Lille,EN SERVICE,Lille,6676.0,0.11948098434004474,0
69,Chasseurs de Driant,50.61893,3.032539,17,5,Lille,EN SERVICE,Lille,7072.0,0.1265682326621924,0
69,Chasseurs de Driant,50.61893,3.032539,17,5,Lille,EN SERVICE,Lille,1281.0,0.022926174496644296,0
70,Cite Administrative,50.63424,3.073991,16,0,Lille,EN SERVICE,Lille,10132.0,0.18133333333333335,0
70,Cite Administrative,50.63424,3.073991,16,0,Lille,EN SERVICE,Lille,1798.0,0.03217897091722595,0
71,Bois Blancs,50.634045,3.030778,20,2,Lille,EN SERVICE,Lille,16911.0,0.3026577181208054,0
71,Bois Blancs,50.634045,3.030778,20,2,Lille,EN SERVICE,Lille,2881.0,0.05156152125279642,0
74,Faubourg de Roubaix,50.641238,3.083175,11,9,Lille,EN SERVICE,Lille,14022.0,0.2509530201342282,0
74,Faubourg de Roubaix,50.641238,3.083175,11,9,Lille,EN SERVICE,Lille,2414.0,0.04320357941834452,0
75,Eugene Jacquet,50.637337,3.084894,6,15,Lille,EN SERVICE,Lille,13008.0,0.2328053691275168,0
75,Eugene Jacquet,50.637337,3.084894,6,15,Lille,EN SERVICE,Lille,2123.0,0.03799552572706935,0
76,Fives,50.632996,3.089651,15,9,Lille,EN SERVICE,Lille,13838.0,0.2476599552572707,0
76,Fives,50.632996,3.089651,15,9,Lille,EN SERVICE,Lille,2151.0,0.038496644295302015,0
79,Cimetiere du Sud,50.61295,3.047268,6,14,Lille,EN SERVICE,Lille,5325.0,0.0953020134228188,0
79,Cimetiere du Sud,50.61295,3.047268,6,14,Lille,EN SERVICE,Lille,927.0,0.01659060402684564,0
80,Petit Maroc,50.61989,3.084357,18,11,Lille,EN SERVICE,Lille,11639.0,0.20830425055928412,0
80,Petit Maroc,50.61989,3.084357,18,11,Lille,EN SERVICE,Lille,1940.0,0.03472035794183445,0
81,Guinguette,50.63529,3.115088,10,0,Lille,EN SERVICE,Lille,2487.0,0.04451006711409396,0
81,Guinguette,50.63529,3.115088,10,0,Lille,EN SERVICE,Lille,492.0,0.008805369127516779,0
83,EuraTechnologies,50.63378,3.02059,22,2,Lille,EN SERVICE,Lille,13462.0,0.24093064876957496,0
83,EuraTechnologies,50.63378,3.02059,22,2,Lille,EN SERVICE,Lille,2128.0,0.038085011185682326,0
84,Mairie d'Hellemmes,50.627243,3.109266,20,4,Lille,DÉCONNECTÉ,Lille,8133.0,0.14555704697986577,0
84,Mairie d'Hellemmes,50.627243,3.109266,20,4,Lille,DÉCONNECTÉ,Lille,1267.0,0.022675615212527964,0
85,Chanzy,50.62504,3.1008,1,11,Lille,EN SERVICE,Lille,7528.0,0.13472930648769574,0
85,Chanzy,50.62504,3.1008,1,11,Lille,EN SERVICE,Lille,1259.0,0.022532438478747203,0
88,Rue Nationale,50.635082,3.058015,17,13,Lille,EN SERVICE,Lille,35504.0,0.6354183445190157,0
88,Rue Nationale,50.635082,3.058015,17,13,Lille,EN SERVICE,Lille,6084.0,0.10888590604026846,0
90,Louviere,50.64569,3.085823,0,20,Lille,EN SERVICE,Lille,8771.0,0.15697539149888143,0
90,Louviere,50.64569,3.085823,0,20,Lille,EN SERVICE,Lille,1413.0,0.025288590604026846,0
91,Square des Meres,50.63417,3.095958,14,11,Lille,EN SERVICE,Lille,7419.0,0.13277852348993288,0
91,Square des Meres,50.63417,3.095958,14,11,Lille,EN SERVICE,Lille,1230.0,0.022013422818791945,0
93,Stade Ballet,50.628918,3.088147,11,7,Lille,EN SERVICE,Lille,9229.0,0.16517225950783,0
93,Stade Ballet,50.628918,3.088147,11,7,Lille,EN SERVICE,Lille,1494.0,0.02673825503355705,0
94,Marx Dormoy,50.63579,3.033977,7,17,Lille,EN SERVICE,Lille,14329.0,0.25644742729306486,0
94,Marx Dormoy,50.63579,3.033977,7,17,Lille,EN SERVICE,Lille,2679.0,0.047946308724832215,0
95,Marbrerie,50.63041,3.097037,14,4,Lille,EN SERVICE,Lille,12765.0,0.22845637583892617,0
95,Marbrerie,50.63041,3.097037,14,4,Lille,EN SERVICE,Lille,1814.0,0.03246532438478747,0
96,Romarin,50.64543,3.075116,12,8,La Madeleine,EN SERVICE,Lille,20589.0,0.3684832214765101,0
96,Romarin,50.64543,3.075116,12,8,La Madeleine,EN SERVICE,Lille,3772.0,0.06750782997762864,0
97,La Madeleine Gare,50.65937,3.074057,5,12,La Madeleine,EN SERVICE,Lille,6016.0,0.10766890380313199,0
97,La Madeleine Gare,50.65937,3.074057,5,12,La Madeleine,EN SERVICE,Lille,868.0,0.015534675615212528,0
98,Place du Marche,50.6549,3.068756,14,10,La Madeleine,EN SERVICE,Lille,5329.0,0.09537360178970918,0
98,Place du Marche,50.6549,3.068756,14,10,La Madeleine,EN SERVICE,Lille,1104.0,0.019758389261744967,0
99,La Madeleine Mairie,50.654602,3.073805,12,12,La Madeleine,EN SERVICE,Lille,9589.0,0.17161521252796422,0
99,La Madeleine Mairie,50.654602,3.073805,12,12,La Madeleine,EN SERVICE,Lille,1500.0,0.026845637583892617,0
100,Saint Maur,50.651638,3.081625,0,24,La Madeleine,EN SERVICE,Lille,14665.0,0.2624608501118568,0
100,Saint Maur,50.651638,3.081625,0,24,La Madeleine,EN SERVICE,Lille,2516.0,0.04502908277404922,0
101,Mons Sarts,50.6423,3.099291,16,8,Mons-en-Barœul,EN SERVICE,Lille,5172.0,0.09256375838926174,0
101,Mons Sarts,50.6423,3.099291,16,8,Mons-en-Barœul,EN SERVICE,Lille,864.0,0.015463087248322148,0
102,Mairie de Mons,50.64218,3.109699,13,3,Mons-en-Barœul,EN SERVICE,Lille,4272.0,0.07645637583892617,0
102,Mairie de Mons,50.64218,3.109699,13,3,Mons-en-Barœul,EN SERVICE,Lille,641.0,0.011472035794183445,0
103,Lacordaire,50.639828,3.106677,1,15,Mons-en-Barœul,EN SERVICE,Lille,1837.0,0.03287695749440716,0
103,Lacordaire,50.639828,3.106677,1,15,Mons-en-Barœul,EN SERVICE,Lille,179.0,0.003203579418344519,0
104,Mendes France,50.64584,3.112744,8,10,Mons-en-Barœul,EN SERVICE,Lille,1218.0,0.021798657718120805,0
104,Mendes France,50.64584,3.112744,8,10,Mons-en-Barœul,EN SERVICE,Lille,203.0,0.003633109619686801,0
107,Lavoisier,50.636105,3.106438,1,11,Mons-en-Barœul,EN SERVICE,Lille,3719.0,0.0665592841163311,0
107,Lavoisier,50.636105,3.106438,1,11,Mons-en-Barœul,EN SERVICE,Lille,567.0,0.01014765100671141,0
108,General de Gaulle,50.645267,3.100516,2,18,Mons-en-Barœul,EN SERVICE,Lille,3638.0,0.0651096196868009,0
108,General de Gaulle,50.645267,3.100516,2,18,Mons-en-Barœul,EN SERVICE,Lille,603.0,0.010791946308724832,0
110,Rue Bonte-Pollet,50.62487,3.034234,0,16,Lille,EN SERVICE,Lille,18418.0,0.3296286353467561,0
110,Rue Bonte-Pollet,50.62487,3.034234,0,16,Lille,EN SERVICE,Lille,3541.0,0.06337360178970917,0
111,Hellemmes Cimetiere,50.62486,3.116677,11,1,Lille,EN SERVICE,Lille,2654.0,0.04749888143176734,0
111,Hellemmes Cimetiere,50.62486,3.116677,11,1,Lille,EN SERVICE,Lille,460.0,0.008232662192393736,0
113,Avenue de Mormal,50.651337,3.08945,1,17,Lille,EN SERVICE,Lille,9664.0,0.17295749440715882,0
113,Avenue de Mormal,50.651337,3.08945,1,17,Lille,EN SERVICE,Lille,1398.0,0.02502013422818792,0
115,De Gaulle,50.651497,3.072316,4,14,La Madeleine,EN SERVICE,Lille,11092.0,0.1985145413870246,0
115,De Gaulle,50.651497,3.072316,4,14,La Madeleine,EN SERVICE,Lille,1517.0,0.027149888143176735,0
116,Botanique,50.64891,3.078336,9,7,La Madeleine,EN SERVICE,Lille,12799.0,0.22906487695749442,0
116,Botanique,50.64891,3.078336,9,7,La Madeleine,EN SERVICE,Lille,2239.0,0.04007158836689038,0
117,Hippodrome,50.641617,3.031375,3,18,Lambersart,EN SERVICE,Lille,10747.0,0.1923400447427293,0
117,Hippodrome,50.641617,3.031375,3,18,Lambersart,EN SERVICE,Lille,1816.0,0.032501118568232665,0
119,Lomme-Lambersart,50.640957,3.018803,12,6,Lambersart,EN SERVICE,Lille,8341.0,0.14927964205816555,0
119,Lomme-Lambersart,50.640957,3.018803,12,6,Lambersart,EN SERVICE,Lille,1297.0,0.023212527964205816,0
120,Lomme Mairie,50.63899,3.01154,12,6,Lille,EN SERVICE,Lille,2289.0,0.040966442953020134,0
120,Lomme Mairie,50.63899,3.01154,12,6,Lille,EN SERVICE,Lille,231.0,0.004134228187919463,0
121,Pont superieur,50.644855,3.013238,11,5,Lille,EN SERVICE,Lille,5233.0,0.09365548098434004,0
121,Pont superieur,50.644855,3.013238,11,5,Lille,EN SERVICE,Lille,591.0,0.010577181208053692,0
122,Piscine de Marcq,50.666033,3.087591,7,9,Marcq-en-Barœul,EN SERVICE,Lille,2104.0,0.037655480984340045,0
122,Piscine de Marcq,50.666033,3.087591,7,9,Marcq-en-Barœul,EN SERVICE,Lille,305.0,0.005458612975391499,0
123,Rue de l'Eglise,50.665348,3.075792,7,10,Marcq-en-Barœul,EN SERVICE,Lille,5733.0,0.10260402684563759,0
123,Rue de l'Eglise,50.665348,3.075792,7,10,Marcq-en-Barœul,EN SERVICE,Lille,808.0,0.014460850111856823,0
