id_local,code_com,coordonneesxy,capacite,capacite_cargo,type_accroche,mobilier,mobilier_complement,acces,gratuit,protection,couverture,date_maj,materiaux,coloris,nom_comm
1447,34172,"[3.870429400001307,43.595634976830645]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,false,,INOX,,Montpellier
71,34129,"[3.9049316999999997,43.57022550002324]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Lattes
2325,34172,"[3.8705109161286733,43.61539854882522]",1,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
2337,34172,"[3.8358631156030807,43.59656393360699]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1081,34172,"[3.856074169349908,43.61667525039592]",1,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
161,34172,"[3.905137999999999,43.59885060002316]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
2206,34172,"[3.879642986605603,43.62159671606056]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
2207,34172,"[3.877506309018779,43.6251373208241]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
699,34172,"[3.868365276834069,43.62165329371883]",8,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1215,34172,"[3.8920806492486086,43.59397589391448]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
215,34172,"[3.8619407000000003,43.61189410002313]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
248,34172,"[3.8714644324162464,43.60661940478922]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1955,34172,"[3.8140523757589984,43.62548824774097]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
959,34172,"[3.8794508712253757,43.61720606132275]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
31,34172,"[3.8520716565715714,43.640869797401145]",15,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
138,34172,"[3.86890956186189,43.60439879054824]",11,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
2532,34057,"[3.918340420518384,43.62154462115148]",6,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
1204,34090,"[3.930728029383016,43.64691184344062]",7,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Le Crès
2550,34057,"[3.8948504656755953,43.629191283029094]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Castelnau-le-Lez
1965,34172,"[3.8946450625946043,43.60798012755644]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
884,34172,"[3.8863308980383464,43.62550324919875]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1226,34172,"[3.879834151774336,43.58618916632826]",7,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,true,,,,Montpellier
1251,34172,"[3.8505655404932413,43.592298156597145]",14,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
364,34172,"[3.8671726755598956,43.60711320639642]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1580,34129,"[3.9017239925441007,43.568299446523085]",1,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,,,Lattes
2105,34057,"[3.895916859410357,43.63241939798922]",5,,CADRE ET ROUE,POTELET,BOLLARD,LIBRE ACCES,true,,,,,,Castelnau-le-Lez
861,34022,"[4.008791199999999,43.654279200023026]",10,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,,,Baillargues
820,34172,"[3.867079655245778,43.60807812327299]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
2108,34172,"[3.8633902514560483,43.60842895477595]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
1984,34172,"[3.8815784405760754,43.603773257287614]",3,1,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,true,,,,,,Montpellier
800,34172,"[3.902683285478491,43.59711360616292]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1235,34172,"[3.8598245246367293,43.58374566067771]",9,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
310,34172,"[3.875129337298419,43.609479706472825]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
493,34172,"[3.860199399999999,43.60656210002313]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
503,34172,"[3.8864225921071007,43.615694295825406]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
2500,34172,"[3.823064830695231,43.625328902006196]",5,,ROUE,RATELIER,PINCE-ROUE,LIBRE ACCES,,,,,,,Montpellier
1097,34172,"[3.8601260532632677,43.58149268122707]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
802,34172,"[3.9027988999999996,43.60751260002315]",2,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,INOX,,Montpellier
1343,34172,"[3.8480285111092076,43.62152792365662]",3,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
323,34172,"[3.836553650377959,43.61664190418417]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
317,34172,"[3.8814935860156523,43.61327358004823]",8,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
817,34172,"[3.8669567231398085,43.60886253657129]",4,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
1310,34244,"[4.0323855,43.663448900022985]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Saint-Brès
2405,34172,"[3.832640275252201,43.61305516803981]",5,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,,,,,Montpellier
18,34172,"[3.876487192331475,43.61042090688088]",10,,CADRE ET ROUE,ARCEAU,ARCEAU VELOS,LIBRE ACCES,,,false,,INOX,,Montpellier
