FID,objectid,code_insee,velo_plus,r_ppal,r_scdr,geom
sc_schema_cyclable_pm35_2023.20,20,59011,Non,Non,Oui,"MULTILINESTRING ((695442.42759575 7047082.61364228, 695504.738515549 7046972.14151791, 695551.950371863 7046877.71780529, 695568.581821247 7046840.69941795, 695584.839 7046796.051))"
sc_schema_cyclable_pm35_2023.232,232,59350,Non,Oui,Non,"MULTILINESTRING ((704846.688699998 7058607.1487, 704853.416199997 7058625.8813, 704851.510700002 7058759.982, 704851.061399996 7058791.1843, 704850.773500003 7058811.1823))"
sc_schema_cyclable_pm35_2023.233,233,00000,Non,Non,Oui,"MULTILINESTRING ((703779.673000001 7055835.36099887, 703780.166076567 7055835.48120222, 703797.285383968 7055839.65458668, 703860.431658005 7055840.56115786, 703971.557570062 7055831.31129589, 703989.827764308 7055829.56816591, 704068.161754887 7055820.65187471, 704203.222757098 7055774.39920454, 704319.2273844 7055742.08831426, 704344.450524719 7055735.06288658, 704384.377477836 7055735.09400472, 704496.170792491 7055747.87277581, 704516.50194066 7055754.47515898, 704694.375566186 7055802.5339969, 704847.256835222 7055872.0094741, 704864.470919727 7055880.15913729, 704876.778574349 7055885.148727, 704894.408457996 7055886.22980477, 704956.695169561 7055888.80775946, 704992.86969497 7055889.55619792, 705037.526522888 7055889.2235586, 705047.339382654 7055890.3877962, 705053.410050136 7055894.54578763, 705094.109698424 7055929.18909144, 705115.859 7055948.924))"
sc_schema_cyclable_pm35_2023.234,234,00000,Non,Non,Oui,"MULTILINESTRING ((702374.09 7054053.52699886, 702352.012692866 7054042.13119156, 702348.942233183 7054040.54628962, 702336.875382028 7054070.71341751, 702165.353712029 7054246.5446772, 702128.291240622 7054322.3934559, 702092.090687155 7054368.0751067, 702075.714246301 7054429.27128042, 702027.446841679 7054555.11129961, 702003.808278796 7054769.12083923, 701970.956092597 7055034.60200583))"
sc_schema_cyclable_pm35_2023.235,235,59560,Oui,Oui,Non,"MULTILINESTRING ((701916.142999999 7049968.201, 701896.876000002 7049938.981, 701890.170999996 7049930.285, 701859.523000002 7049886.784))"
sc_schema_cyclable_pm35_2023.236,236,59011,Non,Non,Oui,"MULTILINESTRING ((694979.033 7047491.52, 695053.097 7047521.981))"
sc_schema_cyclable_pm35_2023.237,237,59256,Non,Non,Non,"MULTILINESTRING ((710023.969000002 7050575.50999886, 710024.452210515 7050575.5311046, 710026.579000002 7050575.62399886, 710030.096000002 7050574.48799886, 710041.442000002 7050565.86599886, 710091.591000002 7050517.41799886, 710097.945000002 7050515.48999886))"
sc_schema_cyclable_pm35_2023.238,238,00000,Non,Non,Non,"MULTILINESTRING ((706981.277000002 7050632.92199886, 706989.105000002 7050625.20499886, 706997.387000002 7050617.60299886, 707009.640000001 7050610.45599886))"
sc_schema_cyclable_pm35_2023.239,239,00000,Non,Option,Non,"MULTILINESTRING ((700556.490599997 7049376.1297, 700210.016900003 7049305.6037, 700100.3226 7049299.5842, 699832.231600002 7049430.1639, 699664.611900002 7049542.589, 699396.525300004 7049512.3066, 699317.288199998 7049475.7716, 699263.799199998 7049457.9181, 699081.219999999 7049451.7499, 699012.634800002 7049457.6564, 698973.893100001 7049452.3668, 698869.033399999 7049405.4883, 698822.155000001 7049384.5164, 698767.2579 7049393.1519, 698700.661899999 7049418.8362))"
sc_schema_cyclable_pm35_2023.240,240,59350,Non,Oui,Non,"MULTILINESTRING ((704403.292499997 7057439.9762, 704437.610799998 7057434.6927, 704451.019400001 7057431.6842))"
sc_schema_cyclable_pm35_2023.241,241,59585,Non,Oui,Non,"MULTILINESTRING ((703539.024999998 7053598.239, 703539.07 7053598.277, 703545.876400001 7053595.9222, 703551.051799998 7053594.1317, 703657.770999998 7053557.21, 703674.783500001 7053551.4697, 703687.072999999 7053547.323, 703692.165100001 7053546.0225, 703708.804300003 7053541.7731, 703710.476000004 7053541.3688, 703717.638499998 7053545.9418, 703826.340000004 7053527.9648, 703854.415600002 7053452.5522, 703881.291699998 7053379.7555))"
sc_schema_cyclable_pm35_2023.21,21,59350,Oui,Oui,Non,"MULTILINESTRING ((702324.806341564 7059402.59395189, 702471.1906 7059275.8079, 702476.7284 7059271.0413))"
sc_schema_cyclable_pm35_2023.22,22,00000,Non,Option,Non,"MULTILINESTRING ((703037.561999999 7056608.519, 702984.892999999 7056484.458, 702946.832999997 7056390.417, 702929.971699998 7056349.384))"
sc_schema_cyclable_pm35_2023.23,23,59360,Oui,Oui,Non,"MULTILINESTRING ((700108.303999998 7057740.331, 700117.031999998 7057750.852, 700115.498999998 7057766.762, 700103.810000002 7057772.776, 700091.295000002 7057772.01, 700082.585000001 7057758.678))"
sc_schema_cyclable_pm35_2023.24,24,59343,Non,Oui,Non,"MULTILINESTRING ((708713.075199999 7054878.0728, 708711.491899997 7054872.8222, 708706.5387 7054868.0967, 708698.624899998 7054869.2353, 708693.671700001 7054873.6192, 708635.143799998 7054873.3915, 708556.119800001 7054879.5403, 708391.535099998 7054890.0612, 708393.508599997 7054851.0662, 708369.973700002 7054841.8943, 708354.119000003 7054831.9437))"
sc_schema_cyclable_pm35_2023.25,25,59350,Oui,Oui,Non,"MULTILINESTRING ((703497.093199998 7057926.901, 703511.187700003 7057905.8277, 703517.322999999 7057896.447, 703529.490000002 7057886.334, 703548.604000002 7057883.915, 703570.313000001 7057891.852, 703575.980099998 7057899.8549, 703598.420000002 7057917.3717))"
sc_schema_cyclable_pm35_2023.26,26,00000,Non,Oui,Non,"MULTILINESTRING ((697205.368000001 7045906.194, 697217.400200002 7045837.3211))"
sc_schema_cyclable_pm35_2023.27,27,59585,Non,Oui,Non,"MULTILINESTRING ((704128.267099999 7052495.7613, 704128.267142867 7052495.76125975, 704139.272813077 7052485.42729903, 704156.84971484 7052495.19224445, 704221.298354634 7052417.07268107, 704276.958543548 7052364.34197578, 704363.239855321 7052334.15650374))"
sc_schema_cyclable_pm35_2023.28,28,59350,Non,Non,Oui,"MULTILINESTRING ((704348.171793476 7058978.01895453, 704507.764184757 7059157.09605101, 704583.499018577 7059242.07738398, 704584.18852528 7059242.85107286, 704712.75118784 7059414.11323557, 704837.237511307 7059454.58823787, 705294.570411515 7059603.2836903))"
sc_schema_cyclable_pm35_2023.29,29,59350,Non,Non,Oui,"MULTILINESTRING ((702733.487210146 7058715.45938777, 702652.911095357 7058613.11626567))"
sc_schema_cyclable_pm35_2023.30,30,00000,Oui,Oui,Non,"MULTILINESTRING ((705950.306699999 7055120.1176, 705925.505000003 7055188.704, 705896.147 7055277.262, 705873.384000003 7055347.877, 705852.066 7055412.226, 705830.155000001 7055480.33, 705811.766000003 7055536.274, 705784.237000003 7055619.688, 705758.302000001 7055699.21, 705734.311999999 7055772.71, 705688.313199997 7055912.6511))"
sc_schema_cyclable_pm35_2023.31,31,00000,Oui,Oui,Non,"MULTILINESTRING ((704926.199100003 7061291.6186, 704869.802000001 7061319.763, 704843.145999998 7061332.129, 704772.934 7061383.78, 704743.664999999 7061397.672, 704683.953000002 7061434.345, 704630.542000003 7061462.334, 704604.093999997 7061483.954, 704525.678000003 7061527.172, 704495.526000001 7061554.455, 704471.704000004 7061590.436, 704440.774999998 7061614.848, 704333.573399998 7061628.7833))"
sc_schema_cyclable_pm35_2023.32,32,59256,Non,Non,Non,"MULTILINESTRING ((711495.449000002 7051295.64899886, 711501.938623323 7051299.21804145, 711501.938600004 7051299.2181))"
sc_schema_cyclable_pm35_2023.33,33,59286,Non,Oui,Non,"MULTILINESTRING ((699037.076081019 7056336.01463358, 699033.629500002 7056331.3644, 698867.993813221 7056112.85741744, 698867.993799999 7056112.8574))"
sc_schema_cyclable_pm35_2023.34,34,00000,Non,Non,Oui,"MULTILINESTRING ((705599.614554269 7050995.81539111, 705597.956000001 7050997.69999886, 705535.212 7051145.652, 705482.224 7051302.23, 705463.162 7051370.533, 705463.161999279 7051370.53300125, 705372.151114015 7051527.58358501, 705341.610517065 7051580.25890135, 705332.974254421 7051595.15441461, 705330.408739699 7051599.57932156))"
