FID,objectid,nom,type,commune,adresse,code_insee,latitude,longitude,geom,date_modification
point_vente.34,34,PRESSE DE LA RESIDENCE marchand de journaux,Point de vente,VILLENEUVE-D'ASCQ,4 PL. DE VERDUN 59650 VILLENEUVE-D'ASCQ,59009,50.620689,3.144743,POINT (50.6206889 3.144743099999999),2026-05-27T04:00:47.935
point_vente.35,35,LE LOSANGE bureau de tabac,Point de vente,LILLE,271 RUE DES POSTES 59000 LILLE,59350,50.619152,3.05089,POINT (50.6191515 3.0508903),2026-05-27T04:00:47.935
point_vente.36,36,LE REINITAS café-tabac,Point de vente,HOUPLINES,70 RUE VICTOR HUGO 59116 HOUPLINES,59317,50.688941,2.90159,POINT (50.6889408 2.9015903),2026-05-27T04:00:47.935
point_vente.37,37,LE ROMARIN café-tabac,Point de vente,LA MADELEINE,104 AV. DE LA RÉPUBLIQUE 59110 LA MADELEINE,59368,50.645756,3.075704,POINT (50.6457556 3.0757037),2026-05-27T04:00:47.935
point_vente.38,38,LE CARRE D'AS café-tabac,Point de vente,SAINT-ANDRÉ-LEZ-LILLE,80 RUE DE LAMBERSART 59350 SAINT-ANDRÉ-LEZ-LILLE,59527,50.657648,3.0401,POINT (50.6576484 3.0401003),2026-05-27T04:00:47.935
point_vente.39,39,LA BOUTIQUE DU FUMEUR bureau de tabac,Point de vente,LILLE,4 PL. DE BÉTHUNE 59800 LILLE,59350,50.632878,3.062361,POINT (50.6328776 3.062361),2026-05-27T04:00:47.935
point_vente.40,40,LIBRAIRIE CENTRE E. LECLERC,Point de vente,SECLIN,E.LECLERC SECLIN 59113 SECLIN,59560,50.549831,3.054698,POINT (50.5498307 3.0546981),2026-05-27T04:00:47.935
point_vente.43,43,AU PONT DE NEUVILLE café-tabac,Point de vente,TOURCOING,142 RUE DU PONT DE NEUVILLE 59200 TOURCOING,59599,50.739087,3.168906,POINT (50.7390869 3.1689065),2026-05-27T04:00:47.935
point_vente.44,44,L'AVENIR café-tabac,Point de vente,VILLENEUVE-D'ASCQ,1 PL. DE LA RÉPUBLIQUE 59650 VILLENEUVE-D'ASCQ,59009,50.626377,3.150117,POINT (50.6263766 3.1501175),2026-05-27T04:00:47.935
point_vente.45,45,LE GAGNANT café-tabac,Point de vente,WASQUEHAL,153 RUE EMILE DELLETTE 59290 WASQUEHAL,59646,50.677931,3.13486,POINT (50.6779306 3.1348604),2026-05-27T04:00:47.935
point_vente.46,46,AU STOP café-tabac,Point de vente,LILLE,355 AV. DE DUNKERQUE 59160 LILLE,59350,50.64103,3.018227,POINT (50.6410303 3.0182271),2026-05-27T04:00:47.935
point_vente.47,47,LE BUISSON café-tabac,Point de vente,MARCQ-EN-BARŒUL,800 AV. DE LA RÉPUBLIQUE 59700 MARCQ-EN-BARŒUL,59378,50.656576,3.089049,POINT (50.65657590000001 3.0890494),2026-05-27T04:00:47.935
point_vente.48,48,LA GITANE café-tabac,Point de vente,WATTIGNIES,105 RUE DU GENERAL DE GAULLE 59139 WATTIGNIES,59648,50.581615,3.050618,POINT (50.5816148 3.050618),2026-05-27T04:00:47.935
point_vente.49,49,MAG PRESSE librairie,Point de vente,HALLUIN,6 RUE MARTHE NOLLET 59250 HALLUIN,59279,50.782955,3.125765,POINT (50.7829546 3.125764900000001),2026-05-27T04:00:47.935
point_vente.50,50,LE SAINT VINCENT café-tabac,Point de vente,SEQUEDIN,1 RUE CARNOT 59320 SEQUEDIN,59566,50.623352,2.9872,POINT (50.6233521 2.9872002),2026-05-27T04:00:47.935
point_vente.51,51,LE NARVAL café-tabac,Point de vente,LINSELLES,5 PL. DE LA RÉPUBLIQUE 59126 LINSELLES,59352,50.738074,3.078276,POINT (50.7380736 3.0782758),2026-05-27T04:00:47.935
point_vente.52,52,LE ROYAL café-tabac,Point de vente,VILLENEUVE-D'ASCQ,31 RUE DES MARTYRS 59493 VILLENEUVE-D'ASCQ,59009,50.621665,3.160327,POINT (50.621665 3.1603271),2026-05-27T04:00:47.935
point_vente.55,55,DICTEE-RECRE librairie,Point de vente,RONCQ,342 RUE DE LILLE 59223 RONCQ,59508,50.753861,3.120848,POINT (50.75386100000001 3.1208476),2026-05-27T04:00:47.935
point_vente.57,57,LE SEBASTO café-tabac,Point de vente,LILLE,47 RUE D'INKERMANN 59000 LILLE,59350,50.629544,3.058852,POINT (50.6295438 3.0588525),2026-05-27T04:00:47.935
point_vente.58,58,LA CIVETTE DES PRES DU HEM,Point de vente,ARMENTIÈRES,69 RUE DU N 59280 ARMENTIÈRES,59017,50.691782,2.87734,POINT (50.6917824 2.8773398),2026-05-27T04:00:47.935
