FID,objectid,mode_transport,libelle_arret_commercial,code_arret_physique,url_plan,code_insee,commune
cartographie_station.169,169,Metro,LILLE PORTE D'ARRAS,PRR098,media.ilevia.fr/opendata/cartographie/Metro_866_Lille Porte D'arras.pdf,59350,Lille
cartographie_station.170,170,Metro,LILLE PORTE D'ARRAS,PRR099,media.ilevia.fr/opendata/cartographie/Metro_866_Lille Porte D'arras.pdf,59350,Lille
cartographie_station.171,171,Metro,PONT DE NEUVILLE,PTN098,media.ilevia.fr/opendata/cartographie/Metro_8780_Pont De Neuville.pdf,59599,Tourcoing
cartographie_station.172,172,Metro,PONT DE NEUVILLE,PTN099,media.ilevia.fr/opendata/cartographie/Metro_8780_Pont De Neuville.pdf,59599,Tourcoing
cartographie_station.173,173,Metro,CARLIERS,CTL098,media.ilevia.fr/opendata/cartographie/Metro_8811_Carliers.pdf,59599,Tourcoing
cartographie_station.174,174,Metro,CARLIERS,CTL099,media.ilevia.fr/opendata/cartographie/Metro_8811_Carliers.pdf,59599,Tourcoing
cartographie_station.175,175,Metro,GARE LILLE FLANDRES,LIG098,media.ilevia.fr/opendata/cartographie/Metro_920_Gare Lille Flandres.pdf,59350,Lille
cartographie_station.176,176,Metro,GARE LILLE FLANDRES,LIG099,media.ilevia.fr/opendata/cartographie/Metro_920_Gare Lille Flandres.pdf,59350,Lille
cartographie_station.177,177,Metro,GARE LILLE FLANDRES,LIG398,media.ilevia.fr/opendata/cartographie/Metro_920_Gare Lille Flandres.pdf,59350,Lille
cartographie_station.178,178,Metro,GARE LILLE FLANDRES,LIG399,media.ilevia.fr/opendata/cartographie/Metro_920_Gare Lille Flandres.pdf,59350,Lille
cartographie_station.179,179,Metro,PORT DE LILLE,PTL098,media.ilevia.fr/opendata/cartographie/Metro_934_Port De Lille.pdf,59350,Lille
cartographie_station.180,180,Metro,PORT DE LILLE,PTL099,media.ilevia.fr/opendata/cartographie/Metro_934_Port De Lille.pdf,59350,Lille
cartographie_station.181,181,Metro,MAIRIE DE LILLE,MDL098,media.ilevia.fr/opendata/cartographie/Metro_935_Mairie De Lille.pdf,59350,Lille
cartographie_station.182,182,Metro,MAIRIE DE LILLE,MDL099,media.ilevia.fr/opendata/cartographie/Metro_935_Mairie De Lille.pdf,59350,Lille
cartographie_station.183,183,Metro,RIHOUR,RIH098,media.ilevia.fr/opendata/cartographie/Metro_942_Rihour.pdf,59350,Lille
cartographie_station.184,184,Metro,RIHOUR,RIH099,media.ilevia.fr/opendata/cartographie/Metro_942_Rihour.pdf,59350,Lille
cartographie_station.185,185,Metro,MONTEBELLO,MNT098,media.ilevia.fr/opendata/cartographie/Metro_946_Montebello.pdf,59350,Lille
cartographie_station.186,186,Metro,MONTEBELLO,MNT099,media.ilevia.fr/opendata/cartographie/Metro_946_Montebello.pdf,59350,Lille
cartographie_station.187,187,Metro,PORTE DE VALENCIENNES,PDV098,media.ilevia.fr/opendata/cartographie/Metro_965_Porte De Valenciennes.pdf,59350,Lille
cartographie_station.188,188,Metro,PORTE DE VALENCIENNES,PDV099,media.ilevia.fr/opendata/cartographie/Metro_965_Porte De Valenciennes.pdf,59350,Lille
cartographie_station.189,189,Metro,BOIS BLANCS,LPC098,media.ilevia.fr/opendata/cartographie/Metro_971_Bois Blancs.pdf,59328,Lambersart
cartographie_station.190,190,Metro,BOIS BLANCS,LPC099,media.ilevia.fr/opendata/cartographie/Metro_971_Bois Blancs.pdf,59350,Lille
cartographie_station.191,191,Metro,CHU EURASANTÉ,CAL098,media.ilevia.fr/opendata/cartographie/Metro_974_Chu-Eurasante.pdf,59350,Lille
cartographie_station.192,192,Metro,CHU EURASANTÉ,CAL099,media.ilevia.fr/opendata/cartographie/Metro_974_Chu-Eurasante.pdf,59350,Lille
cartographie_station.193,193,Metro,LOMME-LAMBERSART ARTHUR NOTEBART,LLO098,media.ilevia.fr/opendata/cartographie/Metro_997_Lomme-Lambersart Arthur Notebart.pdf,59350,Lille
cartographie_station.194,194,Metro,LOMME-LAMBERSART ARTHUR NOTEBART,LLO099,media.ilevia.fr/opendata/cartographie/Metro_997_Lomme-Lambersart Arthur Notebart.pdf,59350,Lille
cartographie_station.195,195,Metro,LOMME SAINT PHILIBERT,HSP098,media.ilevia.fr/opendata/cartographie/Metro_999_Lomme Saint Philibert.pdf,59350,Lille
cartographie_station.196,196,Metro,LOMME SAINT PHILIBERT,HSP099,media.ilevia.fr/opendata/cartographie/Metro_999_Lomme Saint Philibert.pdf,59350,Lille
